epoch,accuracy,loss,val_accuracy,val_loss
0,0.3824404776096344,1.4837557077407837,0.380952388048172,1.1402000188827515
1,0.4141865074634552,1.0997633934020996,0.4325396716594696,1.0875815153121948
2,0.4479166567325592,1.0703740119934082,0.5555555820465088,1.0215455293655396
3,0.4826388955116272,1.0531926155090332,0.523809552192688,0.9909054040908813
4,0.5332341194152832,1.005031943321228,0.4682539701461792,1.1821904182434082
5,0.5788690447807312,0.9662255644798279,0.5833333134651184,0.974472165107727
6,0.5654761791229248,0.9850407242774963,0.5357142686843872,0.9637009501457214
7,0.5739087462425232,0.9331642985343933,0.6428571343421936,0.8350651264190674
8,0.6135912537574768,0.8774039149284363,0.7023809552192688,0.8749496340751648
9,0.6453372836112976,0.8349316716194153,0.6666666865348816,0.7803900837898254
10,0.6741071343421936,0.8243135213851929,0.6746031641960144,0.7865999937057495
11,0.6929563283920288,0.7271228432655334,0.761904776096344,0.7034266591072083
12,0.7291666865348816,0.6530917882919312,0.7142857313156128,0.8536722660064697
13,0.7559523582458496,0.5983961820602417,0.7817460298538208,0.5571245551109314
14,0.7752976417541504,0.5412936806678772,0.7142857313156128,0.7735965847969055
15,0.7733134627342224,0.5579272508621216,0.7222222089767456,0.6938554644584656
16,0.8000991940498352,0.5144485831260681,0.773809552192688,0.6314901113510132
17,0.8278769850730896,0.4497144818305969,0.3888888955116272,3.965076208114624
18,0.8278769850730896,0.4826657474040985,0.7539682388305664,0.62103271484375
