epoch,accuracy,loss,val_accuracy,val_loss
0,0.3392116129398346,2.340254783630371,0.32710281014442444,1.1713563203811646
1,0.38329875469207764,1.5045922994613647,0.35514017939567566,1.197331190109253
2,0.4403527081012726,1.2437853813171387,0.3785046637058258,1.150334119796753
3,0.43983402848243713,1.1705315113067627,0.5233644843101501,1.059873342514038
4,0.4564315378665924,1.121016502380371,0.5654205679893494,1.0342353582382202
5,0.49170124530792236,1.0711100101470947,0.5794392228126526,1.013071894645691
6,0.5114107728004456,1.0305253267288208,0.5841121673583984,0.9881206750869751
7,0.5383817553520203,1.0025100708007812,0.5794392228126526,0.945522129535675
8,0.5399377346038818,0.9685628414154053,0.6308411359786987,0.9145282506942749
9,0.5720954537391663,0.9486196041107178,0.677570104598999,0.8859687447547913
10,0.6073651313781738,0.9099825024604797,0.6495327353477478,0.8662678599357605
11,0.6104771494865417,0.8961004018783569,0.6915887594223022,0.8353355526924133
12,0.6431535482406616,0.8374418616294861,0.6915887594223022,0.8081369996070862
13,0.6167012453079224,0.8551721572875977,0.7196261882781982,0.7759985327720642
14,0.6664937734603882,0.7926270961761475,0.7149532437324524,0.7398648858070374
15,0.6779045462608337,0.7771949768066406,0.7710280418395996,0.6993461847305298
16,0.6794605851173401,0.7628862261772156,0.7616822719573975,0.6902561783790588
17,0.714211642742157,0.7285064458847046,0.7803738117218018,0.6759613752365112
18,0.7100622653961182,0.7088707089424133,0.8037382960319519,0.6323518753051758
19,0.726141095161438,0.6838074922561646,0.8037382960319519,0.6195098161697388
20,0.7276970744132996,0.6738346815109253,0.8317757248878479,0.5917403101921082
21,0.7551867365837097,0.6147400736808777,0.84112149477005,0.5602279305458069
22,0.7484439611434937,0.6333656907081604,0.8644859790802002,0.5523695349693298
23,0.7691908478736877,0.6007463335990906,0.855140209197998,0.5235049724578857
24,0.7889004349708557,0.5801016688346863,0.8504672646522522,0.4906144142150879
25,0.8049792647361755,0.5434403419494629,0.855140209197998,0.48167040944099426
26,0.8003112077713013,0.5477662086486816,0.8644859790802002,0.47489532828330994
27,0.8034232258796692,0.5337445139884949,0.8878504633903503,0.4397895932197571
